Independent Variables,Values,Count,Percentage (%)_Fatal,Percentage (%)_Serious,Percentage (%)_Slight,Total (%)
day_of_week,1 (Sunday),7801,0.22,2.97,8.12,11.309999999999999
day_of_week,2 (Monday),9486,0.26,3.19,10.31,13.760000000000002
day_of_week,3 (Tuesday),10181,0.2,3.32,11.25,14.77
day_of_week,4 (Wednesday),10343,0.21,3.61,11.18,15.0
day_of_week,5 (Thursday),10412,0.24,3.49,11.38,15.110000000000001
day_of_week,6 (Friday),11242,0.29,3.89,12.13,16.310000000000002
day_of_week,7 (Saturday),9480,0.25,3.54,9.96,13.75
junction_detail,0 (Not at junction or within 20 metres),30131,1.11,11.6,30.99,43.699999999999996
junction_detail,1 (Roundabout),5538,0.05,1.34,6.64,8.03
junction_detail,2 (Mini-roundabout),1223,0.0,0.34,1.43,1.77
junction_detail,3 (T or staggered junction),20915,0.34,7.08,22.91,30.33
junction_detail,5 (Crossroads),898,0.03,0.27,0.99,1.29
junction_detail,6 (More than 4 arms (not roundabout)),7148,0.08,2.35,7.94,10.370000000000001
junction_detail,7 (Private drive or entrance),1242,0.01,0.41,1.38,1.7999999999999998
junction_detail,8 (Other junction),1850,0.03,0.62,2.03,2.6799999999999997
road_surface_conditions,1 (Dry),49201,1.14,17.08,53.14,71.36
road_surface_conditions,2 (Wet or damp),18609,0.52,6.53,19.94,26.990000000000002
road_surface_conditions,3 (Snow),175,0.0,0.07,0.18,0.25
road_surface_conditions,4 (Frost or ice),824,0.01,0.27,0.92,1.2000000000000002
road_surface_conditions,5 (Flood over 3cm deep),136,0.01,0.06,0.13,0.2
road_type,1 (Roundabout),4310,0.04,1.08,5.13,6.25
road_type,2 (One way street),1394,0.01,0.38,1.63,2.02
road_type,3 (Dual carriageway),11113,0.37,3.49,12.26,16.12
road_type,6 (Single carriageway),50877,1.24,18.71,53.84,73.79
road_type,7 (Slip road),1251,0.02,0.34,1.45,1.81
sex_of_driver,1 (Male),49112,1.41,18.03,51.8,71.24
sex_of_driver,2 (Female),19833,0.26,5.98,22.52,28.759999999999998
urban_or_rural_area,1 (Urban),45396,0.64,14.74,50.46,65.84
urban_or_rural_area,2 (Rural),23549,1.03,9.27,23.86,34.16
weather_conditions,1 (Fine no high winds),57670,1.39,20.09,62.18,83.66
weather_conditions,2 (Raining no high winds),9140,0.21,3.15,9.89,13.25
weather_conditions,3 (Snowing no high winds),298,0.01,0.09,0.33,0.43
weather_conditions,4 (Fine + high winds),678,0.03,0.27,0.68,0.9800000000000001
weather_conditions,5 (Raining + high winds),885,0.03,0.33,0.92,1.28
weather_conditions,6 (Snowing + high winds),35,0.0,0.01,0.04,0.05
weather_conditions,7 (Fog or mist),239,0.01,0.07,0.27,0.35000000000000003
